filename	ATTRIBUTE_species
0_AR_Blk_C18_Pos.mzML	BLK
1_AR_Arnica_C18_Pos.mzML	Arnica montana
2_AR_Cinchona_C18_Pos.mzML	Cinchona succirubra
3_AR_Ginkgo_C18_Pos.mzML	Ginkgo biloba
4_AR_Panax_C18_Pos.mzML	Panax ginseng
5_AR_Salvia_C18_Pos.mzML	Salvia officinalis
